AuthorId,PaperIds
16058,2257378 2231615 668528 1797959 443071 115744 823622 925451 1893397 1393793 1683469 651069 868403 1973845 1025534 1896810 578044 1164795 2173690 2178808 544499 1713534 1336019 2112381 2118610 563636 452561 1025764 502497 1229278 1808350 1482461 584666 1495511 2113734 1619413 1514915 1369537 96977 459470 612045 557003 511690 203465 889542 455365 618945 348862 2074235 1874875 1246136 2184777 2054068 627891 2239154 1938353 1696940 1435515 1968553 1881992 1609894 1670053 276132 1658787 322039 558789 34718 1823847 934626 1555566 15762 1486224 75245 664462 231563 985225 1649544 191623 1155717 110720 1045118 1854058 1154940 1955960 1279486 1966397 828268 1665460 715882 51047 1929060 246114 1899490 361824 989783 1063253 1881169 526055 589901 1237577 1973320 635318 852800 999989 2039102 1286836 1610552 956725 1755185 1797168 195118 1427890 1253929 263208 346417 1928997 940836 510243 119842 345392 833036 2149660 2096923 1314073 1312435 70412 1505803 760961 101881 1082089 2092515 1779682 1766619 126244 1851830 1206447 517282 1940868 1336174 1763688 1652313 1515092 
16642,1639631 651965 1440332 1188440 1781508 283473 729456 
17473,561459 430258 1076295 1165316 348049 1637414 2163344 1224660 1071168 1944861 1057034 1443211 1095084 9636 1126455 746169 1742728 930595 1026977 618134 1519748 1138008 1690683 146457 2134218 1986050 584481 1632753 1131259 1850837 204735 1377 51965 1202881 1170599 1631788 1837497 1178438 1468036 2172006 894370 745238 659633 1044220 1311086 1877159 17385 621286 2058211 905954 212922 305872 2163148 805252 2157235 128945 1576106 17832 1018533 566179 1148868 1325992 1011088 321678 2175370 801157 793471 232470 1996606 1319284 1504618 748071 833126 358752 992232 2152274 2194495 734775 2218543 707079 773413 758805 942868 103402 1687310 396300 1905926 391129 1999472 1956856 582864 1631153 1470518 476644 1081059 1260134 1480134 1289293 2209758 1674477 2146673 699032 2204005 610622 1650748 1407537 1725679 771815 1253887 154538 2191097 2185207 1000436 840944 1904106 338309 421712 1117733 250074 1768919 1709777 1833474 43450 1554960 1496513 754821 253372 784571 424122 1760263 482761 1699766 6580 499627 553897 1335200 1672858 1292693 1642730 1255751 1830792 112238 1387111 469604 1078202 1799769 2046807 466006 1542484 1545296 2227021 910912 1833017 452398 1276715 76063 724477 1009426 706064 1502989 2133463 386057 1150216 1484039 915243 
17603,1783023 1165113 1634252 1924779 397242 1009865 1100184 800281 666799 661169 440051 
18119,1791114 1014311 973000 43459 1012065 1377368 210245 1525405 287255 194926 313305 1632094 1430742 151892 1236530 248642 625971 133934 1779501 948270 981890 1709775 1527161 2112759 74195 1446123 381943 876496 789346 508513 2162528 886351 1944538 911321 230357 1030984 1487309 2208205 696011 2175687 912238 879549 1411001 1641781 673842 845745 641839 903724 895819 538535 487206 1716260 1794720 954974 543769 1447576 243091 1353488 2251276 950572 1380488 1847044 
18603,1386918 1231068 1440892 811442 933925 637297 1310493 965955 1890961 1762506 1701785 513283 1793171 406318 1261212 507880 1620684 372875 568881 1891581 806009 1374628 438671 1933936 234418 925389 1711027 1704174 1685478 2146874 369195 18989 1268067 1852987 2199021 2052856 2123133 161786 1346169 1156471 1942006 1982782 1578379 1789935 1115373 707452 14434 2211643 576354 1646305 1292779 760278 421075 1035346 538424 73808 1702220 905925 359364 1490242 476094 635964 857912 1578676 2107549 1016366 1843372 106921 332655 636880 767518 1438235 1403418 1824409 456344 1538324 1091331 1553294 1142274 1987628 1714823 105346 
20962,1575138 1742689 2002623 52263 1753493 602622 434427 904751 287657 2219377 1969076 2133989 389080 590420 1769298 5367 1635140 958142 719034 1131956 89585 1685418 880168 834848 56985 2169366 1371157 1054735 688725 1180548 1632741 759286 273877 2083656 758669 531397 699549 1242217 779836 2077737 1353785 1429000 1580671 1703230 64239 18795 1828156 388070 1821669 538595 1959006 1986905 1995606 2162684 269510 456892 691551 449381 2136349 308390 294300 1685787 90516 1386893 1269654 704245 
21226,1240647 999580 1090184 1150283 1561332 529615 2067839 1212828 958800 2155282 1829608 1214135 1576219 2026508 593993 365144 1128573 2107247 690343 246422 1117962 1277313 2079944 898793 1596395 944446 483524 2098704 845247 292821 750533 219904 1315960 1289003 402826 738006 718220 1002842 2240407 337952 461544 841693 906940 991911 547386 616914 2226675 1760967 1892555 1790114 251806 1371653 1895001 70004 442908 979413 574127 1386138 2001113 1867521 186938 1898961 556320 369516 1654574 278330 65958 1818653 1712106 1352505 310275 1135692 827435 828616 1097488 1339488 1672873 1866219 965452 1958939 1838118 630483 1594669 1171172 962972 1667099 1492969 49870 1427047 1469401 624332 35758 1846103 1925463 2056942 1619881 1218321 1728232 729183 1732280 2002092 1088775 1337997 640049 514877 1732040 809130 676806 246584 1414827 2223963 1066134 1329142 1249131 1687814 10345 896786 996029 198596 1957476 1033859 2250066 1545013 2184592 573539 874558 1369423 770296 1803386 1933238 1524779 376267 740195 1768230 379827 1558219 1266216 697161 847556 1680241 766499 1348075 969884 2142526 807869 847130 1414488 55297 72969 1602608 585412 1311652 323348 158138 817006 1165720 2134076 724663 1685198 2205593 2014791 2179168 315898 1263140 581370 1878033 1806348 1596333 1784359 645159 1953119 1613809 1144495 940012 353255 2204646 2032612 1552354 2192420 2071116 1928145 921082 1656763 1354667 1761192 2068385 1968028 149402 2194323 1469080 349070 619159 1900369 672633 2045148 2245491 1861488 639848 1005914 1006564 156844 779089 1666896 2116427 647990 205635 160577 171837 1983455 2195254 457512 195356 780057 1712937 490280 1339119 1701609 2143695 1910487 1854484 1623750 1541824 777385 1474231 1007282 2186852 88741 1518233 540310 1606288 1501838 333442 2015872 1275961 2176606 1750607 1338957 290374 1874699 1673794 1296956 2087474 1087019 717351 8737 2094622 1258013 1253915 1933845 1882637 390743 1179137 765434 542198 813822 1366514 801263 2035076 899559 1882347 386525 169433 1283544 1715667 16847 489932 2160033 1531331 1078719 1409470 335808 671132 1066416 1281454 1712557 26020 255755 123297 2140229 417179 1973647 1640493 958809 760189 665970 658791 1431782 2212174 2127180 2004281 2099503 1453618 1218860 302377 165793 5508 1234819 1392685 895233 1641726 1675502 1276139 1326801 1158364 233848 723149 639178 2237812 1661118 1304758 692765 1154222 1510573 1002183 1120664 768880 1531010 52351 477303 1739892 1880171 867415 1654866 801872 200773 968765 2040891 1738808 62276 1588275 614447 2018348 688170 32791 1289234 1238869 1679279 534536 193140 971864 815269 1225652 247179 1549497 1963993 11375 2228823 1044537 267648 547052 2060888 1227847 942040 1098391 184204 1502304 545388 1172816 1633004 421255 524314 1631525 17343 415460 1414166 910200 794053 849846 1204916 1116535 1930227 999137 2046087 106213 2081629 1545074 1717306 1247680 2130378 279220 1080732 569730 2014930 1521894 1690577 8403 1906069 2192753 293404 1383521 817907 646949 1172326 445841 2174930 1845625 1369782 129239 528603 832076 145563 98218 119055 931815 242304 1449223 1112 115933 1506557 1114741 628745 1127959 1622473 1302357 94583 1876408 1239995 1672636 321823 1487262 1220863 760623 1585188 767892 1369864 416629 781846 708875 1305701 1498178 968922 120494 1854845 1604197 2000870 2229424 1939201 1560864 974837 206048 288215 390324 1044324 1054902 1382871 829240 224037 1486736 2122205 306949 1087343 1996414 30360 1323080 1370502 1229188 1399524 982914 1115606 1251401 1879131 1382719 1352117 1553391 821221 484303 536526 2122697 1673159 1256377 918453 695220 2173639 2002077 425898 787441 1153955 1093445 1077231 1833869 905 580477 1904502 120664 970575 153412 54080 1854 1269561 1993513 2189094 390948 2056568 1106720 1055515 2229018 1596206 266000 214997 855806 1786608 1860331 216790 1688275 2045995 1592016 965326 1412556 2039493 633510 877735 490138 1406615 1676946 1233542 1380993 1934975 1834431 551546 2026103 1369712 993883 2038350 144955 1219849 410160 1371693 433706 799273 1760788 708115 561671 1592828 480735 972252 676315 1924557 1572255 667380 336303 786842 126345 1039747 72056 1912172 2001249 1084759 1088845 1972547 2050278 918833 385328 429952 723230 1301788 25647 1524556 905466 1487090 1960177 997613 248042 640233 1300691 2069712 914589 340164 1078280 1992849 535404 1491079 934422 1523843 706681 1243250 912496 214119 14428 656475 533585 1365001 1603634 1985581 2050030 432148 323591 
21435,2097209 444917 1658693 2052730 135528 1932872 133122 2247812 50275 1205186 2201089 
22071,1739173 2185119 1460042 980373 708887 616836 
22868,1029848 1377315 798908 2223275 1791508 944916 1435006 265758 374931 988122 145618 1440652 1387846 1013829 1708708 1974787 1533281 
23508,2056537 1367245 411022 254417 93219 886120 1340537 1254456 1868151 421108 1601776 1837666 2157315 456286 720183 881836 1639335 1445411 1397656 1247251 1163062 1862148 2118654 788494 182832 1515115 888470 1809454 1331124 286346 1800228 183193 1690810 146345 677030 101740 397364 1068785 831070 930012 1935153 186079 1507509 1025960 1795263 1974387 1779561 527330 1221479 1525940 979167 1177437 531279 1750969 57551 1017457 563533 2087116 562615 130634 1279687 972229 689092 1621048 971573 397501 227256 262582 517227 825007 595374 2075562 691236 2045360 368672 505460 1527069 1209369 1619579 186251 552579 2026126 
23713,583112 507555 1722724 1749235 881548 1991321 1717830 463130 342332 899757 1503961 45389 1525182 1134671 809403 1947871 1504716 1888891 898818 530638 1731005 1720228 931284 1366271 565634 14935 2193158 1705502 343685 2034381 2054052 389260 1636834 1577380 212131 609722 947127 1819574 2004914 1364394 639395 1452449 1569680 1514988 1436315 771458 204670 947565 1350117 695642 125580 1553223 587586 704138 979771 1445689 405802 2086179 1478431 591114 987898 2118897 708835 1973968 456904 172724 2225843 1645233 29857 1312919 2125974 2078869 1364625 1580688 453770 659591 1486463 2023171 1283695 1295980 1928122 2225752 1731156 315468 971322 144440 1104951 40500 67118 568351 907288 1231277 416779 1094656 1451968 1869521 903660 963877 812849 1176494 1490867 665038 1685981 71325 1364702 2178912 1633211 1882166 2206918 1203879 2257524 793627 706426 929435 796364 186994 1999356 726375 120249 60770 233867 217082 1101768 1568243 1127921 386542 188389 2193380 1086943 2185498 1600469 1490890 835015 713156 1970108 326586 1707949 288156 144789 2241919 957815 819062 266100 1042801 978273 1080804 1532248 1745463 1750840 734516 1395504 1384236 1661737 1469224 483099 903960 404246 507692 1500936 1002757 1974019 280311 1000178 511204 109516 323781 1568954 2242219 1764507 1942668 247925 186483 1243249 2066539 2230869 2163272 2217022 1498546 1490982 936476 492748 1766403 476686 800776 61445 412163 
25210,1025806 1243056 
26965,1129214 823334 342712 1666166 1235070 1374324 1450735 1401574 524773 1037983 1329199 331610 432727 1097302 1684116 714321 1722063 724492 1818314 245240 2037304 805061 395396 737472 
30184,1064251 1748345 284664 508342 1422558 2033388 2081124 1084569 636482 1859660 1241932 1231876 508547 1108289 722174 541321 1016360 1575911 1358691 416350 503756 457991 187842 
31404,458175 1394730 443644 160283 949402 2033304 1786743 1028543 498452 1718035 780369 20971 1128554 1669065 1092616 1564550 571882 
31755,24316 1947986 1780664 21680 
31809,898144 1730434 386407 1858374 1026735 142550 1985057 1499973 1265993 1852094 1378730 616592 1590638 1607246 1224203 1353735 830506 2069568 115151 44186 871771 264994 1685013 727595 1340169 800295 1735893 1775426 1591796 78031 1565303 1178415 1057054 2020062 72883 1198648 1361399 453863 858653 1343497 1876576 1396183 595148 1421067 1544948 123820 2106534 1847695 112961 698499 1036687 41808 356929 2082877 499513 137481 224050 1589799 2098654 935066 423599 1279445 2233838 1312567 30387 1076043 1315037 1982959 941519 1101273 1805610 1829443 1442381 217502 1954741 1384489 680448 554220 1568202 1840973 654555 1899696 570651 152569 1631689 1987470 1774981 1278580 1276698 2100010 1838826 1072357 1049813 930025 1602769 280526 92092 1417134 799401 1529503 421442 2186879 1348220 2200955 858814 1450859 1411168 903257 190552 1295427 1162549 1009473 1670444 1404391 162072 467587 753877 
32649,1174878 844957 2140100 1228730 1653636 31319 64758 222933 2158796 1802483 2092530 75080 714796 227790 956396 2020844 349705 1793096 1533190 1462244 2045091 
33680,449788 992896 540154 2018873 1368248 2076585 414261 1349426 1463784 683933 458476 1266025 1918365 1277531 268761 1347417 77014 200021 719058 1314448 286880 1840522 1485000 1590081 993472 886399 1971130 825581 685994 898408 410848 1137950 170894 
33688,1767967 476067 1664509 1461754 2048740 1214520 130423 1346979 89840 1424249 729090 1054091 319338 150150 95333 2036164 139011 2016256 884066 
35484,2111647 1517069 1870604 1842075 1127512 1698887 736655 1650337 
35912,486336 1714998 30244 1540056 
38082,1041643 429740 1873243 2168082 1642883 718234 340668 1861154 1877394 1231737 1640584 1973284 179876 1566087 332529 161418 1320265 731817 1730798 1628638 1566824 1707679 1843208 224397 1571351 1463856 1068580 2124968 2019845 975738 1297680 1162350 265487 704714 1876565 94707 1959910 1822971 2230949 946116 1527725 1127810 736636 2096495 837485 1026921 1826873 2052429 1161945 1191235 989503 88855 132995 785165 778505 1378051 241847 612223 1143527 478424 386262 945079 250314 432824 136869 1336484 273569 578700 879236 1642004 275730 426595 2164831 802903 1734741 1479241 1221182 272307 874034 245804 367144 1629186 1401111 1164329 18225 562570 1546211 1841019 1683059 1084524 1477280 406351 1620319 764463 778794 1680777 928668 488578 759167 384404 976648 885514 1268044 193673 1503038 1093762 731886 355461 896635 1652603 893575 1694239 1625616 1108382 1533489 430671 687046 977778 553767 1161143 1777052 2154298 701863 2027578 509555 554912 296376 430612 1291386 1600485 2143857 421240 1179077 1168361 1767709 1110585 649632 130332 968239 2220772 2060866 1975838 98718 1639366 1367186 954857 905716 662474 703051 2074107 1906601 505767 1766391 512456 751038 10675 1493932 1320874 211874 55693 1185667 313715 1676138 387943 815452 10554 525624 849801 1787699 2055468 10496 1337573 23076 822996 1558711 633522 1055406 1349286 461963 1265280 1839229 1531484 29275 80974 1900215 1811909 802842 928280 2067477 
39184,2101267 321904 320163 601349 1220034 439112 1733119 408702 1559722 1831671 1886196 1619961 601003 1925524 2058090 2219695 1762792 1130213 451555 1250320 1003540 580808 239706 1418585 3664 1359459 1814164 518223 1579127 1546821 622026 363706 1345706 1173300 1019698 951087 664086 269224 1894692 1114914 501295 578838 1644181 657172 349109 884369 856720 548367 1556494 1454476 1383307 2189421 2040185 1335120 1026360 105261 1783391 2093421 74306 1729738 1285192 455412 1491723 250818 34751 2103227 289844 482613 1842352 1592619 1071913 2172710 2024865 1986819 
39260,1081660 637741 68451 1350609 1808935 1857290 434648 1908820 130443 421809 882735 791156 1982521 211386 739935 1452120 443287 1043031 1181946 1764601 308192 2074060 214872 426385 1861016 138708 1869931 1626441 1777255 164351 449529 1055727 2154471 638435 1648969 2168020 1667545 2188537 278485 1997268 897483 1628255 387527 63942 2227653 1486788 159034 1057727 168884 300382 211379 1539503 541097 834472 1730470 1632675 282528 1970591 1239454 436890 1461913 1791370 1011591 1929092 16257 275861 1812350 1328508 1143668 215033 2193128 1265516 2049340 476004 1154910 1211227 78169 672081 2027855 675144 806213 719243 1185090 204606 191803 1776442 1201976 1546039 1086767 1106219 1708849 1240867 1791266 1123103 948890 224028 583961 941846 1309461 272148 1079567 433934 1872653 1489675 353546 838914 1846514 981233 1046254 212716 755432 1367783 1283808 1095391 2054366 744151 97824 1974457 1584820 1288135 285340 802740 1131148 1227914 514412 1106557 1399743 481402 958055 766065 1784937 620135 1801308 307470 1035345 472151 1295947 681140 354877 1901109 1568306 648232 283168 414749 273436 509529 772232 514136 144399 685826 2200586 2208265 1971115 1790349 2191253 1307709 1301151 1590361 284157 1325052 1966586 1123824 1840614 981471 842192 2239116 769463 2171819 2078002 1122203 1672089 1748882 185734 1567098 100728 1595253 1089425 2024799 1151325 1125200 174414 1036594 465544 1689902 687494 1802532 1767195 1573655 1466840 919312 1300743 2106608 1845798 402653 2079452 1414868 354002 988878 2118347 1718986 501960 747204 536770 355509 1372245 1801906 2083869 1929900 1898152 303770 1587865 1294251 2152584 1415302 1468597 1298039 758372 1293584 2073696 637015 976564 904777 1324103 643652 1979455 935995 463930 1176120 473139 579110 378896 1567231 99851 
39460,195452 935705 
39546,2257724 60411 2001480 1923379 1062320 202536 1705262 1051313 1347750 826468 1595550 671503 1720011 1143989 1818750 501114 843188 2124361 601568 522740 1665992 923117 2050538 1447804 462312 1187046 1689632 444879 2251098 1754457 1661472 975051 612142 1919795 2036877 1529675 1532168 1666953 219336 1867269 1147140 1086336 554624 
40237,352770 37408 444303 1017958 2161847 742002 355634 383433 95666 1096566 736040 749205 62320 1587451 279800 1572457 1780370 1866095 1948978 1205477 1810939 2106078 1108700 611412 1650899 1121080 2218343 55115 512326 1745219 1269442 681409 656699 815153 480435 1001634 1888666 1182490 2088722 1008767 1083647 1458945 1047058 178673 1111819 1916118 692390 2154050 1920190 1094195 1700602 1593063 2048255 2049916 990195 1479401 1870306 197728 635279 1295048 1614648 2081839 834733 592681 357116 508435 1788301 1466898 1990535 744579 
41205,170023 1967470 115893 666452 384660 
41331,2094751 802860 984184 1181270 2198291 2177553 
43308,1334481 2058245 1879060 2153617 102206 572885 211579 1217272 976375 1337269 1205043 151217 740720 486835 1946348 2203115 1222759 1916581 25572 66914 1040992 1444869 498713 2104408 2063438 307476 789454 586187 688709 1154180 1200323 1324674 1270144 
43353,1367907 1485848 202064 1233949 74501 390604 464035 1869564 572154 383727 1269350 830688 194781 784601 694996 1083165 1930908 418715 810598 2234975 797522 140364 1246593 2234624 691418 1455800 602487 1867082 1716647 637829 2050116 1801478 15178 674940 1988599 1975669 295050 1117949 993275 1910260 70386 1101297 1313516 231654 567525 1694948 1014497 1696479 879834 1667107 785869 851913 926661 1377219 2202306 1697470 2197690 886985 1326588 327848 2237606 1292706 1900447 1809732 594070 961169 1182862 308106 658822 1012445 716673 572801 1583229 196988 582009 970351 1575022 2180461 1406060 1657189 1197410 1560414 2129757 1949531 1537113 1497420 2249289 1734369 303941 2010435 570168 894046 2212148 1723187 1650735 464429 2051883 113705 213540 1589283 2190370 1998615 1536790 177173 869905 363536 1679627 2100228 1300738 
43537,2141966 1937831 57546 737697 1133046 370270 1957203 105585 
45040,881180 166178 75315 
45437,1648858 1644348 1069498 1247544 1155059 281169 341549 1933454 1610474 818876 499599 1505611 877153 276032 1407291 2235477 703764 97106 593197 644171 1067781 
46236,480313 715300 443976 1400645 158089 1352190 1029180 271286 431666 1601969 953260 1652329 1744549 1491747 16287 1156686 1568026 1225943 1246670 613840 532879 1644238 245825 1451520 
46831,732873 1660064 1805694 2085165 770812 255190 958430 1282509 1466088 1046213 1711211 1118759 2041871 318423 1086193 148908 2067483 1291649 
48145,2017481 1051594 1540821 1210576 1256782 636985 1171208 891313 1557283 474945 
49287,591555 117252 1905247 1762999 2084511 476032 838154 1030728 438257 2208518 2012154 1247954 2179348 957878 1535771 1443973 47848 1682682 1764949 26356 530099 131889 2182765 2224491 1201771 262180 1054049 2140634 1748926 456936 1543480 1396542 1699272 1738531 1641504 972251 369572 779799 1003349 165859 1686545 997921 
50095,1063738 33401 995398 693857 2215743 1744479 1835014 1719287 69621 945780 1427322 873937 233168 1051437 2153198 1877677 966634 384325 1627266 
50387,1322703 1628296 1954614 1530580 2096108 1401520 759370 1321312 1787234 830423 1618270 999317 1974014 2024746 175295 1847444 2069758 601456 1469423 212205 177126 838115 1181498 2232666 1214244 632786 523726 461897 630901 164165 1101631 1866682 679503 1231789 1599660 1173930 947876 1159472 2199945 1770911 1423486 1909269 1071636 1217551 904432 11913 623487 801417 1205723 1065679 862283 22722 1099841 1064500 3692 544394 317438 2013952 
51014,1177853 1845309 279292 231881 2058515 1779933 741613 1192421 383072 771805 210139 704727 48333 1342077 1008939 121274 233044 1864817 1776 599343 99323 234603 179441 1855889 574500 162021 1974562 2194913 1158047 870356 2015129 1211476 756179 1088977 148304 1587650 2046473 80673 751237 414315 535682 
53399,1306528 558275 2061822 1223306 681022 539814 8183 691923 968115 938035 1914410 772855 493566 1118961 661736 1753211 878306 2131425 1934300 183968 1380764 365014 875209 1803549 1611973 1471167 80823 1445545 441670 107098 86432 696734 726940 1974937 1187476 68235 1921157 287617 1877375 110484 2063549 391274 416872 1394405 1213789 364375 2258006 917331 319818 1899585 1918780 286523 1636406 1386231 1572404 547376 1040687 1478443 1575717 813089 209161 348928 1851376 1100955 1253878 324309 647449 1883736 1261644 2069875 1742565 175839 890073 246484 1218770 127940 1221053 1997115 820399 1409197 353424 2009738 1378942 1305962 1439867 1487162 566888 2026861 1208167 1583203 1825889 178526 1863771 1426522 1467737 1301839 1806918 689472 1732413 1463866 1711929 183854 166186 543008 2088221 1856601 1061648 335119 1784586 1456854 1609731 107521 
53479,1395716 414816 
53583,1827976 421665 1459133 1956650 2194235 364023 93046 341745 642775 276712 822807 1219924 812728 242093 2134862 400777 1994048 1408383 546938 962263 1089086 2232381 1302378 2063850 882167 1179735 505379 1307938 953559 418066 889488 527565 1233367 
54566,1689898 1625891 333772 958474 712116 673497 631092 459132 729281 
54994,1835966 2253147 1861402 1670681 752439 692470 1384533 938388 2125390 266667 1951785 765704 1828869 970852 508803 2212449 
56013,1985535 1566334 1953149 1690431 2198550 2210156 1704696 1402487 655734 475941 2006545 2185203 837746 2000367 459246 987372 1189354 994449 656657 623718 2144939 66916 1909730 693868 783200 753503 731102 1316317 1049692 408539 1294809 326488 312791 2030734 1405523 15442 487630 1274957 2040140 194635 728394 669174 1460420 529347 2156133 282687 334346 1340988 788063 472802 343864 475061 1552178 612273 857392 1240693 1340334 917419 2188337 1874438 1606453 500002 1817761 1578784 457630 826138 361509 746646 226321 1149583 972302 1630347 15754 1118857 694406 526597 1309739 1937666 1224704 
56557,1352338 866906 493448 109948 2127030 1207969 1142991 934147 1535713 295055 25326 1803782 824080 993301 481277 1411829 1601268 1707251 1799794 29950 150639 2171246 1957613 1772881 689767 1788767 422995 288721 1484752 677326 1613251 1538238 1322996 1665069 1790290 982699 475995 90901 1827089 398352 1882507 808325 322574 1824380 119114 650498 692288 509526 418025 1283677 1483821 1490651 982228 1077154 1031016 1448550 1114853 1747034 2004395 147414 1022670 1222226 1978317 193099 225994 127559 515780 20639 1808436 1834932 1241899 2015272 73895 2002309 1227411 539654 231810 
56633,781041 1230780 480062 2046268 2005228 563099 1703105 454959 930301 656724 359381 241716 970705 1950696 748295 
59161,2246091 751197 1442266 1183992 228566 1541331 2192527 1625491 2003051 1912967 1475686 218372 1861507 
59975,440633 1987323 1102329 1532854 1212918 1736733 853355 1023463 562147 40290 592464 1677792 1139679 1463518 630236 281719 1257303 1422549 152788 1564626 2113233 2127312 848449 624201 1311816 384993 235846 1427254 663236 1301441 396639 1016889 1011894 864606 1383988 802120 585903 187566 1456684 77105 817693 409884 2138415 60186 1254033 1699970 1117705 740871 1118468 722176 2169586 1647618 
60745,2129016 990965 2240491 272361 245733 168671 1542489 911959 1067860 2148306 418124 837431 96458 1977030 419147 563401 36823 581811 294194 1911853 766380 1647390 176284 2080665 520723 517255 381825 1742641 337900 1724259 2094432 1971672 44627 516937 727361 1202462 919473 1628209 52806 2003488 400533 2106533 317580 1175255 610563 
64535,927261 1661340 335003 1461219 2016863 633511 976579 
64577,2051161 1886178 1219930 280492 821946 1595144 63213 383280 2059851 1541120 126463 2124506 938834 1304003 2057798 38100 1546418 716575 211998 262909 1018039 1406500 1386659 263381 1818594 638536 293825 
64788,1403130 2006100 387571 2021584 2253018 555735 2023124 178899 366288 2221000 671943 4287 704188 464558 2056357 924324 54945 1182112 2161303 9620 391288 1377880 1763412 1491535 1475907 1345084 587323 1231413 521523 1385472 1619489 1027545 1963282 1455661 1955592 241664 116949 307447 246006 370933 1847796 1310259 1378029 1738729 1919715 2121439 718809 1074648 906198 1695265 827346 831185 1857484 1225922 700606 985781 810417 162479 1371250 1668268 555975 1206431 1704846 649410 246408 2196613 2110082 2099321 493938 238446 2084882 2228586 1731772 2008423 397152 472414 379226 1887825 2197582 1194977 670268 1211960 1554990 965421 1626155 2248483 40222 1840918 306990 953816 1024014 687616 
